Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
Terra-Luna,46,2022-05-09,0.8,250,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,47,2022-05-09,0.8,250,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,48,2022-05-09,0.8,250,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,49,2022-05-09,0.8,300,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,50,2022-05-09,0.8,300,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,51,2022-05-09,0.8,300,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,52,2022-05-09,0.8,300,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,53,2022-05-09,0.8,350,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
Terra-Luna,54,2022-05-09,0.8,350,0.1,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-21,230,Pre-loaded,Pre-loaded,Yes
Terra-Luna,55,2022-05-09,0.8,350,0.15,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-10-05,216,Pre-loaded,Pre-loaded,Yes
Terra-Luna,56,2022-05-09,0.8,350,0.2,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-11-04,186,Pre-loaded,Pre-loaded,Yes
Terra-Luna,57,2022-05-09,0.8,400,0.05,2022-05-09,0.072352753,0.0775641972,93.2811214662,2021-09-08,243,Pre-loaded,Pre-loaded,Yes
